title,year,cites,doi,oa_url,primary_pdf,topic
A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,2023,128,https://doi.org/10.1109/tcad.2023.3287760,https://uhra.herts.ac.uk/id/eprint/10482/1/TCAD_FINAL_VERSION.pdf,,Advanced Memory and Neural Computing; Neural Networks and Applications; Neural dynamics and brain function
Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,2024,72,https://doi.org/10.1109/tcad.2024.3429410,https://uhra.herts.ac.uk/id/eprint/11289/1/TCAD_IoMT.pdf,,Advanced Memory and Neural Computing; Neural Networks and Applications; stochastic dynamics and bifurcation
MNSIM 2.0: A Behavior-Level Modeling Tool for Processing-In-Memory Architectures,2023,55,https://doi.org/10.1109/tcad.2023.3251696,https://ieeexplore.ieee.org/ielx7/43/6917053/10058114.pdf,https://ieeexplore.ieee.org/ielx7/43/6917053/10058114.pdf,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Semiconductor materials and devices
MURLAV: A Multiple-Node-Upset Recovery Latch and Algorithm-Based Verification Method,2024,51,https://doi.org/10.1109/tcad.2024.3357593,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04737519/document,,Radiation Effects in Electronics; Semiconductor materials and devices; VLSI and Analog Circuit Testing
HALTRAV: Design of a High-Performance and Area-Efficient Latch With Triple-Node-Upset Recovery and Algorithm-Based Verifications,2024,41,https://doi.org/10.1109/tcad.2024.3511335,https://hal-lirmm.ccsd.cnrs.fr/lirmm-04954952v1/document,,VLSI and Analog Circuit Testing; Embedded Systems Design Techniques; VLSI and FPGA Design Techniques
EQ-ViT: Algorithm-Hardware Co-Design for End-to-End Acceleration of Real-Time Vision Transformer Inference on Versal ACAP Architecture,2024,22,https://doi.org/10.1109/tcad.2024.3443692,https://pmc.ncbi.nlm.nih.gov/articles/PMC12327521/pdf/nihms-2034244.pdf,,CCD and CMOS Imaging Sensors; Advanced Neural Network Applications; Advanced Memory and Neural Computing
GNN4HT: A Two-Stage GNN-Based Approach for Hardware Trojan Multifunctional Classification,2024,22,https://doi.org/10.1109/tcad.2024.3428469,https://doi.org/10.1109/tcad.2024.3428469,,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; Adversarial Robustness in Machine Learning
An Efficient Gustavson-Based Sparse Matrix–Matrix Multiplication Accelerator on Embedded FPGAs,2023,20,https://doi.org/10.1109/tcad.2023.3281719,https://dr.ntu.edu.sg/bitstream/10356/169151/2/TCAD3281719.pdf,,Parallel Computing and Optimization Techniques; Numerical Methods and Algorithms; Low-power high-performance VLSI design
"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",2023,19,https://doi.org/10.1109/tcad.2023.3317789,https://arxiv.org/pdf/2309.13015,,Advanced Neural Network Applications; Advanced Memory and Neural Computing; Machine Learning and ELM
Analog RF Circuit Sizing by a Cascade of Shallow Neural Networks,2023,18,https://doi.org/10.1109/tcad.2023.3282570,https://ieeexplore.ieee.org/ielx7/43/6917053/10143358.pdf,https://ieeexplore.ieee.org/ielx7/43/6917053/10143358.pdf,Integrated Circuits and Semiconductor Failure Analysis; VLSI and Analog Circuit Testing; Radio Frequency Integrated Circuit Design
A Security-Aware and LUT-Based CAD Flow for the Physical Synthesis of hASICs,2023,15,https://doi.org/10.1109/tcad.2023.3244879,https://ieeexplore.ieee.org/ielx7/43/6917053/10044229.pdf,https://ieeexplore.ieee.org/ielx7/43/6917053/10044229.pdf,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; Neuroscience and Neural Engineering
Analog Defect Injection and Fault Simulation Techniques: A Systematic Literature Review,2023,15,https://doi.org/10.1109/tcad.2023.3298698,https://ieeexplore.ieee.org/ielx7/43/6917053/10194295.pdf,https://ieeexplore.ieee.org/ielx7/43/6917053/10194295.pdf,Integrated Circuits and Semiconductor Failure Analysis; VLSI and Analog Circuit Testing; Advancements in Semiconductor Devices and Circuit Design
Efficient Image Processing via Memristive-Based Approximate In-Memory Computing,2024,12,https://doi.org/10.1109/tcad.2024.3438113,https://doi.org/10.1109/tcad.2024.3438113,,Advanced Memory and Neural Computing; Machine Learning and ELM; Neural dynamics and brain function
Heuristic Logic Resynthesis Algorithms at the Core of Peephole Optimization,2023,11,https://doi.org/10.1109/tcad.2023.3256341,https://ieeexplore.ieee.org/ielx7/43/6917053/10066519.pdf,https://ieeexplore.ieee.org/ielx7/43/6917053/10066519.pdf,Low-power high-performance VLSI design; Formal Methods in Verification; Ferroelectric and Negative Capacitance Devices
Gibbon: An Efficient Co-Exploration Framework of NN Model and Processing-In-Memory Architecture,2023,11,https://doi.org/10.1109/tcad.2023.3262201,https://doi.org/10.1109/tcad.2023.3262201,,Advanced Memory and Neural Computing; Ferroelectric and Negative Capacitance Devices; Advanced Neural Network Applications
Efficient FPGA-Based Sparse Matrix–Vector Multiplication With Data Reuse-Aware Compression,2023,11,https://doi.org/10.1109/tcad.2023.3281715,https://hdl.handle.net/11250/3136451,,Parallel Computing and Optimization Techniques; Interconnection Networks and Systems; Advanced Data Storage Technologies
