title,year,cites,doi,oa_url,primary_pdf,topic
Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,2024,82,https://doi.org/10.1109/tcsi.2024.3439869,https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf,,Advanced Memory and Neural Computing; Chaos control and synchronization
SYNtzulu: A Tiny RISC-V-Controlled SNN Processor for Real-Time Sensor Data Analysis on Low-Power FPGAs,2024,14,https://doi.org/10.1109/tcsi.2024.3450966,https://doi.org/10.1109/tcsi.2024.3450966,,CCD and CMOS Imaging Sensors; Embedded Systems Design Techniques
"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",2024,13,https://doi.org/10.1109/tcsi.2024.3466972,https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf,,Integrated Circuits and Semiconductor Failure Analysis; Physical Unclonable Functions (PUFs) and Hardware Security; CCD and CMOS Imaging Sensors
A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,2024,13,https://doi.org/10.1109/tcsi.2024.3359044,https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf,,CCD and CMOS Imaging Sensors; UAV Applications and Optimization; Robotics and Sensor-Based Localization
C4TERO: Configurable Cascaded Carry Chains for High Reliability TERO PUFs on FPGAs,2024,8,https://doi.org/10.1109/tcsi.2024.3438362,https://doi.org/10.1109/tcsi.2024.3438362,,VLSI and Analog Circuit Testing; Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis
Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,2024,8,https://doi.org/10.1109/tcsi.2024.3410518,https://lirias.kuleuven.be/retrieve/913275b5-a108-48a9-b523-7f949cafecb4,,VLSI and Analog Circuit Testing; VLSI and FPGA Design Techniques; Integrated Circuits and Semiconductor Failure Analysis
Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,2025,8,https://doi.org/10.1109/tcsi.2024.3525387,http://hdl.handle.net/2078.1/299513,,Advancements in Semiconductor Devices and Circuit Design; Low-power high-performance VLSI design; Semiconductor materials and devices
"Exploiting Body-Driven Feedbacks in Physical Unclonable Functions for Ultra Low Voltage, Ultra Low Power Applications: A 0.3 V Weak-PUF",2024,6,https://doi.org/10.1109/tcsi.2024.3396916,https://doi.org/10.1109/tcsi.2024.3396916,,Physical Unclonable Functions (PUFs) and Hardware Security; Integrated Circuits and Semiconductor Failure Analysis; Advancements in Semiconductor Devices and Circuit Design
A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,2024,5,https://doi.org/10.1109/tcsi.2024.3368102,http://hdl.handle.net/10017/62156,,Numerical Methods and Algorithms; Low-power high-performance VLSI design; Digital Filter Design and Implementation
High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,2024,4,https://doi.org/10.1109/tcsi.2024.3427011,https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf,,Particle accelerators and beam dynamics; Superconducting Materials and Applications; HVDC Systems and Fault Protection
