"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2024","2","Cryogenic Front-End ASICs for Low-Noise Readout of Charge Signals","https://doi.org/10.1109/tcsi.2024.3506828","green","https://www.osti.gov/biblio/2500294",,"https://doi.org/10.1109/tcsi.2024.3506828","Prashansa Mukim; G. Carini; H. Chen; G. Deptuch; S. Gao","Semiconductor Quantum Structures and Devices","72","4","1496","1509"
"2024","2","Efficient Integer-Only-Inference of Gradient Boosting Decision Trees on Low-Power Devices","https://doi.org/10.1109/tcsi.2024.3446582","hybrid","https://doi.org/10.1109/tcsi.2024.3446582",,"https://doi.org/10.1109/tcsi.2024.3446582","Majed Alsharari; Son T.; Roger Woods; Carlos Reaño","Stochastic Gradient Optimization Techniques","72","1","241","253"
"2024","2","A Power-Efficient Autonomous Current Adaptation ADC Input Driver","https://doi.org/10.1109/tcsi.2024.3395057","hybrid","https://doi.org/10.1109/tcsi.2024.3395057",,"https://doi.org/10.1109/tcsi.2024.3395057","Zu-Jia Lo; Tzu-Heng Hsu; Hsiu-Min Yang; Xiu-Zhu Li; Wei-Zhi Lai","Analog and Mixed-Signal Circuit Design","71","8","3476","3488"
"2025","2","Improving Coding Efficiency of Massive Parallel Intra Prediction Using Alternative References","https://doi.org/10.1109/tcsi.2025.3564455","hybrid","https://doi.org/10.1109/tcsi.2025.3564455",,"https://doi.org/10.1109/tcsi.2025.3564455","Iago Storch; Nuno Roma; Daniel Palomino; Sérgio Bampi","Neural Networks and Applications","72","11","7070","7083"
"2024","2","Efficient Computation for Discrete Fractional Hadamard Transform","https://doi.org/10.1109/tcsi.2024.3441834","green","https://figshare.com/articles/journal_contribution/Efficient_Computation_for_Discrete_Fractional_Hadamard_Transform/26943274",,"https://doi.org/10.1109/tcsi.2024.3441834","Zi-Chen Fan; Di Li; Susanto Rahardja","Wireless Communication Networks Research","71","10","4698","4706"
"2025","2","Enhancing Voltage Control Stability of Grid-Forming VSCs Under PWM Delays: A Study on Feedforward Damping Methods","https://doi.org/10.1109/tcsi.2024.3523196","green","https://vbn.aau.dk/ws/files/759468420/TCAS_Final.pdf",,"https://doi.org/10.1109/tcsi.2024.3523196","Shan He; Chao Gao; Zhiqing Yang; Helong Li; Lijian Ding","Microgrid Control and Optimization","72","9","5233","5246"
"2024","2","Benchmarking of Scaled Majority-Logic-Synthesized Spintronic Circuits Based on Magnetic Tunnel Junction Transducers","https://doi.org/10.1109/tcsi.2024.3420250","green","https://infoscience.epfl.ch/handle/20.500.14299/246033",,"https://doi.org/10.1109/tcsi.2024.3420250","Fanfan Meng; Siang-Yun Lee; Odysseas Zografos; Mohit Gupta; V.D. Nguyen","Magnetic properties of thin films","72","1","135","142"
"2025","2","Dynamic Nonlinear Resistance Model for a Power MOSFET in an Oscillatory RLC Circuit","https://doi.org/10.1109/tcsi.2025.3542754","green","https://researchcommons.waikato.ac.nz/bitstreams/aba22a8c-00ee-4ccd-963a-b00812888a22/download",,"https://doi.org/10.1109/tcsi.2025.3542754","Soniya Raju; D. Alistair Steyn‐Ross; Marcus T. Wilson; Nihal Kularatna","Silicon Carbide Semiconductor Technologies","72","6","2792","2803"
"2025","2","A 9.84-μW 148.9-dB Total DR Light-to-Digital Converter With Current-Integration SAR Quantizer for Multi-Wavelength PPG Applications","https://doi.org/10.1109/tcsi.2025.3564384","hybrid","https://doi.org/10.1109/tcsi.2025.3564384",,"https://doi.org/10.1109/tcsi.2025.3564384","Y. Gao; Junwen Li; Chun-Ho Fan; Ka Nang Leung; Yuan‐Ting Zhang","Photonic and Optical Devices","72","11","6886","6899"
"2025","1","Intermittent Information-Based Disturbance Observer Design and Recursive Depth Control for AUVs With Packet Losses","https://doi.org/10.1109/tcsi.2025.3568021","green",,,"https://doi.org/10.1109/tcsi.2025.3568021","Weixin Wang; Yang Yi; Qin Wang; Jun Yang; Junzhi Yu","Underwater Vehicles and Communication Systems","72","11","7346","7357"
