"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2024","5","A Fully Digital Relaxation-Aware Analog Programming Technique for HfOx RRAM Arrays","https://doi.org/10.1109/tcsii.2024.3371771","green","http://hdl.handle.net/10261/378342",,"https://doi.org/10.1109/tcsii.2024.3371771","Hamidreza Erfanijazi; Luis A. Camuñas-Mesa; Elisa Vianello; Teresa Serrano‐Gotarredona; B. Linares-Barranco","Advanced Memory and Neural Computing","71","8","3685","3689"
"2024","4","Self-Adaptive Intermediate Resonator in a 3-Coil Inductive Link for Power and Data Transmission","https://doi.org/10.1109/tcsii.2024.3360369","green","https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/47591/1/SSHP24.pdf",,"https://doi.org/10.1109/tcsii.2024.3360369","Andrés Seré; Leonardo Steinfeld; Simon Hemour; Pablo Pérez-Nicoli","Microwave Engineering and Waveguides","71","11","4728","4732"
"2024","4","A 46 Gbps 12 pJ/b Sparsity-Adaptive Beamspace Equalizer for mmWave Massive MIMO in 22FDX","https://doi.org/10.1109/tcsii.2024.3426551","green","http://hdl.handle.net/20.500.11850/699717",,"https://doi.org/10.1109/tcsii.2024.3426551","Seyed Hadi Mirfarshbafan; Christoph Studer","Millimeter-Wave Propagation and Modeling","71","12","4969","4973"
"2024","3","Parallel Slew-Rate Enhancer With Current-Recycling Core for Switched-Capacitors Circuits","https://doi.org/10.1109/tcsii.2024.3423313","hybrid","https://doi.org/10.1109/tcsii.2024.3423313",,"https://doi.org/10.1109/tcsii.2024.3423313","Francesco Gagliardi; Alessandro Catania; Massimo Piotto; Paolo Bruschi; Michele Dei","Analog and Mixed-Signal Circuit Design","71","12","4814","4818"
"2025","2","A Cryo-CMOS Triple Tail Comparator With Capacitive Over-Neutralization to Suppress Freeze-Out Induced Hysteresis","https://doi.org/10.1109/tcsii.2025.3596708","green","https://lirias.kuleuven.be/retrieve/89eac621-f966-45ab-98aa-9fdbb3964adb",,"https://doi.org/10.1109/tcsii.2025.3596708","Bram Veraverbeke; Filip Tavernier","Solidification and crystal growth phenomena","72","10","1358","1362"
"2025","2","Memory Optimized, High Signal Quality Direct Digital Frequency Synthesizer on an FPGA","https://doi.org/10.1109/tcsii.2025.3576310","hybrid","https://doi.org/10.1109/tcsii.2025.3576310",,"https://doi.org/10.1109/tcsii.2025.3576310","Kalle I. Palomäki; Jari Nurmi","Advancements in PLL and VCO Technologies","72","7","958","962"
"2025","2","Design of Energy Efficient RFET-Based Polymorphic Logic Gates","https://doi.org/10.1109/tcsii.2025.3611107","hybrid","https://doi.org/10.1109/tcsii.2025.3611107",,"https://doi.org/10.1109/tcsii.2025.3611107","Fanny Spagnolo; Pasquale Corsonello; Stefania Perri","Energy Harvesting in Wireless Networks","72","11","1755","1759"
"2025","2","Design and Experimental Verification of 0.9-2.6pW 0.1-0.25V 22nm 2-Bit Supply-to-Digital Converter Using Always-Activated Supply-Controlled Oscillator and Supply-Dependent-Activation Buffers for Bio-Fuel-Cell-Powered-and-Sensed Time-Stamped Bio-Recording","https://doi.org/10.1109/tcsii.2025.3590168","hybrid","https://doi.org/10.1109/tcsii.2025.3590168",,"https://doi.org/10.1109/tcsii.2025.3590168","Hiroaki Kitaike; Hironori Tagawa; Shufan Xu; Ruilin Zhang; Kunyang Liu","Analog and Mixed-Signal Circuit Design","72","11","1575","1579"
"2024","1","A Multi-GHz Inverter-Based ASDM With Distortion Cancellation","https://doi.org/10.1109/tcsii.2024.3401466","green","https://biblio.ugent.be/publication/01JAQ892WPCX62DJPHYTPX8D1Z/file/01JAQ89Z33N7C3ES42146R9AW1.pdf",,"http://dx.doi.org/10.1109/tcsii.2024.3401466","Caro Meysmans; Achim Vandierendonck; Pieter Rombouts; Guy Torfs","PAPR reduction in OFDM","71","10","4442","4446"
"2024","1","IEEE Transactions on Circuits and Systems--II: Express Briefs Publication Information","https://doi.org/10.1109/tcsii.2023.3346154","bronze","https://ieeexplore.ieee.org/ielx7/8920/10385034/10384875.pdf","https://ieeexplore.ieee.org/ielx7/8920/10385034/10384875.pdf","https://doi.org/10.1109/tcsii.2023.3346154","Edoardo Bonizzoni; Antonio Liscidini; Krishna Kanth; Daniel Burbano; Joao Catalao","Low-power high-performance VLSI design","71","1","C2","C2"
